time,node,src,dst,hopcount,interface
4.909022,30,10.1.1.2,10.1.1.39,1,1
4.910726,35,10.1.1.36,10.1.1.5,2,1
4.912570,16,10.1.1.2,10.1.1.39,1,1
4.912570,16,10.1.1.2,10.1.1.39,2,1
4.916154,24,10.1.1.12,10.1.1.21,2,1
4.916154,24,10.1.1.12,10.1.1.21,3,1
4.916693,29,10.1.1.30,10.1.1.8,5,1
4.920414,20,10.1.1.35,10.1.1.40,1,1
4.920414,20,10.1.1.35,10.1.1.40,2,0
4.920414,20,10.1.1.35,10.1.1.40,2,0
4.924793,34,10.1.1.24,10.1.1.11,3,1
4.924793,34,10.1.1.24,10.1.1.11,4,1
4.940454,29,10.1.1.30,10.1.1.8,6,1
4.943667,6,10.1.1.21,10.1.1.35,2,1
4.943667,6,10.1.1.35,10.1.1.21,1,1
4.943667,11,10.1.1.21,10.1.1.35,3,1
4.943667,11,10.1.1.35,10.1.1.21,1,1
4.943667,5,10.1.1.21,10.1.1.35,2,1
4.943667,5,10.1.1.35,10.1.1.21,1,1
4.943667,34,10.1.1.21,10.1.1.35,0,1
4.943667,4,10.1.1.21,10.1.1.35,3,1
4.943667,4,10.1.1.35,10.1.1.21,1,1
4.943668,10,10.1.1.21,10.1.1.35,4,1
4.943668,10,10.1.1.35,10.1.1.21,1,1
4.943668,16,10.1.1.21,10.1.1.35,3,1
4.943668,16,10.1.1.35,10.1.1.21,1,1
4.943668,9,10.1.1.21,10.1.1.35,3,1
4.943668,9,10.1.1.35,10.1.1.21,1,1
4.948509,22,10.1.1.12,10.1.1.29,2,1
4.948509,22,10.1.1.12,10.1.1.29,3,1
4.950802,22,10.1.1.12,10.1.1.29,3,1
4.950802,22,10.1.1.12,10.1.1.29,4,1
4.952023,23,10.1.1.21,10.1.1.35,3,1
4.952023,23,10.1.1.35,10.1.1.21,2,1
4.952023,37,10.1.1.21,10.1.1.35,3,1
4.952023,37,10.1.1.35,10.1.1.21,2,1
4.952023,29,10.1.1.21,10.1.1.35,3,1
4.952023,29,10.1.1.35,10.1.1.21,2,1
4.952023,22,10.1.1.21,10.1.1.35,3,1
4.952023,22,10.1.1.35,10.1.1.21,2,1
4.952023,36,10.1.1.21,10.1.1.35,3,1
4.952023,36,10.1.1.35,10.1.1.21,2,1
4.952023,28,10.1.1.21,10.1.1.35,3,1
4.952023,28,10.1.1.35,10.1.1.21,2,1
4.952023,21,10.1.1.21,10.1.1.35,3,1
4.952023,21,10.1.1.35,10.1.1.21,2,1
4.952023,35,10.1.1.21,10.1.1.35,3,1
4.952023,35,10.1.1.35,10.1.1.21,2,1
4.952990,2,10.1.1.21,10.1.1.35,3,1
4.952990,2,10.1.1.35,10.1.1.21,2,1
4.952990,1,10.1.1.21,10.1.1.35,3,1
4.952990,1,10.1.1.35,10.1.1.21,2,1
4.963064,1,10.1.1.2,10.1.1.39,2,1
4.965450,14,10.1.1.5,10.1.1.36,0,1
4.965450,14,10.1.1.5,10.1.1.36,1,1
4.965861,39,10.1.1.24,10.1.1.11,3,1
4.965861,39,10.1.1.24,10.1.1.11,4,0
4.965861,39,10.1.1.24,10.1.1.11,4,0
4.967162,39,10.1.1.19,10.1.1.22,1,1
4.967162,39,10.1.1.19,10.1.1.22,2,1
4.971124,31,10.1.1.21,10.1.1.35,3,1
4.971124,31,10.1.1.21,10.1.1.35,4,1
4.971724,12,10.1.1.35,10.1.1.21,1,1
4.971724,12,10.1.1.35,10.1.1.21,2,1
4.982209,27,10.1.1.13,10.1.1.28,0,1
4.983155,31,10.1.1.13,10.1.1.28,1,1
4.983155,31,10.1.1.28,10.1.1.13,3,1
4.988661,30,10.1.1.2,10.1.1.39,4,1
4.988661,30,10.1.1.2,10.1.1.39,5,1
5.006372,10,10.1.1.12,10.1.1.29,1,1
5.006372,10,10.1.1.12,10.1.1.29,2,1
5.015180,26,10.1.1.13,10.1.1.28,1,1
5.015180,26,10.1.1.13,10.1.1.28,2,1
5.016223,2,10.1.1.35,10.1.1.21,1,1
5.016223,2,10.1.1.35,10.1.1.21,2,1
5.023206,5,10.1.1.6,10.1.1.14,4,1
5.025344,16,10.1.1.2,10.1.1.39,5,1
5.025344,16,10.1.1.2,10.1.1.39,6,1
5.026143,19,10.1.1.13,10.1.1.28,2,1
5.026143,19,10.1.1.13,10.1.1.28,3,1
5.027769,30,10.1.1.8,10.1.1.33,0,1
5.027769,30,10.1.1.8,10.1.1.33,1,1
5.028855,14,10.1.1.8,10.1.1.33,1,1
5.028855,14,10.1.1.8,10.1.1.33,2,1
5.031224,27,10.1.1.28,10.1.1.13,3,1
5.032930,25,10.1.1.21,10.1.1.33,0,1
5.032930,25,10.1.1.21,10.1.1.33,1,1
5.039044,11,10.1.1.12,10.1.1.29,2,1
5.044170,14,10.1.1.15,10.1.1.26,2,1
5.046700,28,10.1.1.29,10.1.1.12,2,1
5.048184,36,10.1.1.12,10.1.1.29,1,1
5.048184,36,10.1.1.12,10.1.1.29,2,1
5.049496,10,10.1.1.12,10.1.1.29,1,1
5.049496,10,10.1.1.12,10.1.1.29,2,1
5.052624,11,10.1.1.12,10.1.1.29,2,1
5.058725,17,10.1.1.12,10.1.1.21,2,1
5.058725,17,10.1.1.12,10.1.1.21,3,1
5.060590,31,10.1.1.21,10.1.1.35,3,1
5.060590,31,10.1.1.21,10.1.1.35,4,1
5.078267,10,10.1.1.11,10.1.1.24,3,1
5.078967,29,10.1.1.30,10.1.1.11,1,1
5.086855,1,10.1.1.2,10.1.1.39,6,1
5.092345,18,10.1.1.11,10.1.1.24,3,1
5.092345,18,10.1.1.11,10.1.1.24,4,1
5.097470,10,10.1.1.11,10.1.1.24,4,1
5.103250,20,10.1.1.21,10.1.1.35,2,1
5.103250,20,10.1.1.35,10.1.1.40,2,1
5.106074,20,10.1.1.21,10.1.1.33,1,1
5.106673,39,10.1.1.24,10.1.1.11,4,1
5.109763,20,10.1.1.21,10.1.1.35,3,1
5.117455,17,10.1.1.12,10.1.1.21,2,1
5.117455,17,10.1.1.12,10.1.1.21,3,1
5.124177,34,10.1.1.35,10.1.1.33,2,1
5.129751,20,10.1.1.21,10.1.1.35,3,1
5.130138,30,10.1.1.39,10.1.1.29,0,1
5.130138,30,10.1.1.39,10.1.1.29,1,1
5.130657,38,10.1.1.39,10.1.1.29,1,1
5.135632,1,10.1.1.2,10.1.1.39,1,1
5.136172,1,10.1.1.8,10.1.1.33,1,1
5.136172,1,10.1.1.8,10.1.1.33,2,1
5.136830,0,10.1.1.1,10.1.1.40,2,1
5.139828,24,10.1.1.18,10.1.1.29,3,1
5.139828,24,10.1.1.18,10.1.1.29,4,1
5.140346,17,10.1.1.18,10.1.1.29,4,1
5.144009,8,10.1.1.4,10.1.1.37,2,1
5.144771,10,10.1.1.11,10.1.1.16,1,1
5.160291,6,10.1.1.7,10.1.1.34,1,1
5.181589,7,10.1.1.4,10.1.1.37,1,1
5.181589,7,10.1.1.4,10.1.1.37,2,1
5.183828,27,10.1.1.13,10.1.1.28,0,1
5.186494,31,10.1.1.32,10.1.1.40,2,1
5.192585,10,10.1.1.11,10.1.1.16,0,1
5.196052,3,10.1.1.9,10.1.1.4,0,1
5.196388,18,10.1.1.21,10.1.1.35,3,1
5.196388,18,10.1.1.21,10.1.1.35,4,1
5.196907,20,10.1.1.21,10.1.1.35,4,1
5.200565,6,10.1.1.8,10.1.1.33,1,1
5.200565,6,10.1.1.8,10.1.1.33,2,1
5.201357,3,10.1.1.35,10.1.1.21,2,1
5.201357,3,10.1.1.35,10.1.1.21,3,1
5.204573,21,10.1.1.22,10.1.1.19,1,1
5.210084,12,10.1.1.35,10.1.1.21,2,1
5.210084,12,10.1.1.35,10.1.1.21,3,1
5.211315,31,10.1.1.13,10.1.1.28,1,1
5.211315,31,10.1.1.28,10.1.1.13,4,1
5.211620,17,10.1.1.13,10.1.1.28,1,1
5.211620,17,10.1.1.13,10.1.1.28,2,1
5.224808,24,10.1.1.21,10.1.1.12,2,1
5.224808,24,10.1.1.21,10.1.1.12,3,1
5.225647,26,10.1.1.7,10.1.1.34,0,1
5.225647,26,10.1.1.7,10.1.1.34,1,1
5.227168,27,10.1.1.28,10.1.1.13,4,1
5.239446,20,10.1.1.21,10.1.1.35,0,1
5.243928,22,10.1.1.12,10.1.1.29,2,1
5.243928,22,10.1.1.12,10.1.1.29,3,1
5.250991,31,10.1.1.21,10.1.1.35,3,1
5.250991,31,10.1.1.21,10.1.1.35,4,1
5.257559,29,10.1.1.8,10.1.1.2,2,1
5.257559,29,10.1.1.8,10.1.1.2,3,1
5.260621,17,10.1.1.18,10.1.1.16,0,1
5.267859,11,10.1.1.1,10.1.1.40,2,1
5.290317,12,10.1.1.13,10.1.1.28,3,1
5.294942,5,10.1.1.6,10.1.1.35,1,1
